song_id,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
0,0.147,0.798,0.745,46,111.016,0.197,0.388,240000,-5.436,0.0384,1,0.651,F
1,0.0658,0.804,0.521,66,143.952,0.0521,0.553,224700,-4.395,0.0569,0,0,C
2,0.0395,0.96,0.755,67,99.023,0.332,0.661,170440,-3.189,0.123,1,2.43E-05,E
3,0.359,0.769,0.592,40,171.94,0.122,0.223,226520,-7.127,0.19,1,0.0143,D
4,0.16,0.838,0.769,83,93.996,0.0935,0.602,249609,-5.238,0.0633,0,0,D
5,0.209,0.632,0.511,39,135.971,0.145,0.342,225813,-5.462,0.0286,0,0,A
6,0.0368,0.403,0.226,40,163.959,0.201,0.294,265200,-16.024,0.0445,1,0.205,F
7,0.934,0.127,0.31,10,135.423,0.109,0.298,349533,-23.284,0.0498,0,0.387,A#
8,0.697,0.37,0.41,55,76.926,0.211,0.33,318846,-15.757,0.0766,1,0.000144,E
9,0.0441,0.737,0.809,77,80.025,0.341,0.367,226938,-5.186,0.108,0,0,C#
10,0.0486,0.717,0.842,51,81.495,0.292,0.552,204387,-4.158,0.241,1,0,B
11,0.958,0.143,0.316,26,154.381,0.133,0.36,164000,-18.605,0.037,0,0.857,G
12,0.532,0.444,0.84,70,131.999,0.0623,0.376,145636,-10.58,0.211,1,0.000884,D#
13,0.919,0.386,0.292,43,87.91,0.1,0.0658,212187,-12.965,0.0372,0,0.904,G
14,0.772,0.279,0.776,36,135.866,0.0567,0.509,463267,-10.45,0.0615,1,0.134,E
15,0.0936,0.518,0.79,75,97.986,0.357,0.487,151837,-6.571,0.212,0,0,G#
16,0.992,0.0318,0.211,40,88.735,0.131,0.185,266813,-28.27,0.0489,0,0.0456,A
17,0.00778,0.863,0.515,46,143.017,0.0616,0.961,188640,-5.756,0.0308,0,0.896,G
18,0.569,0.722,0.376,60,159.842,0.164,0.458,242947,-3.553,0.0354,0,4.69E-05,B
19,0.0196,0.699,0.882,60,145.008,0.0469,0.42,257267,-5.572,0.249,0,0,D
20,0.505,0.383,0.65,27,110.522,0.392,0.864,217227,-13.074,0.0464,0,0,A#
21,0.413,0.569,0.54,47,88.749,0.525,0.939,342107,-14.857,0.0338,0,0.809,G
22,0.0326,0.754,0.676,22,110.027,0.374,0.748,343600,-11.037,0.0457,0,0.674,C#
23,0.0372,0.559,0.706,73,78.534,0.379,0.252,217405,-5.216,0.0416,1,0,E
24,0.295,0.198,0.47,35,75,0.103,0.188,263047,-15.112,0.0456,1,0.704,C#
25,0.26,0.822,0.557,58,115.979,0.31,0.153,178566,-4.973,0.0522,1,0.0808,B
26,0.107,0.606,0.851,48,119.234,0.08,0.658,260160,-9.982,0.0412,0,0.293,C#
27,0.00528,0.841,0.761,39,140.008,0.109,0.52,243429,-6.025,0.125,1,0.0843,F
28,0.00148,0.937,0.536,29,140.008,0.104,0.138,361714,-5.415,0.0492,0,0.0266,B
29,0.0567,0.692,0.36,37,80.289,0.0585,0.181,373427,-4.508,0.0368,1,2.70E-06,F
30,0.028,0.719,0.607,52,94.887,0.79,0.3,222133,-5.279,0.0399,1,0,F#
31,0.867,0.159,0.14,42,142.239,0.392,0.0331,243160,-17.845,0.0401,1,0.917,C#
32,0.0121,0.86,0.21,30,164.762,0.142,0.402,167507,-2.187,0.0738,0,7.65E-05,E
