Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17
2008-12-04,2,9.2,28.0,0.0,,,NE,24.0,E,9.0,16.0,1012.8,,26.5,No,No
2008-12-08,2,7.7,26.7,0.0,,,W,35.0,W,17.0,19.0,1010.1,,25.5,No,No
2008-12-12,2,15.9,21.7,2.2,,,NNE,31.0,ENE,13.0,91.0,1004.2,8.0,17.0,Yes,Yes
2008-12-13,2,15.9,18.6,15.6,,,W,61.0,NNW,28.0,93.0,993.0,8.0,15.8,Yes,Yes
2009-01-06,2,13.7,37.9,0.0,,,W,52.0,WNW,26.0,8.0,1006.7,,36.8,No,No
2009-01-09,2,12.5,28.4,0.0,,,NE,37.0,S,9.0,16.0,1013.7,,26.6,No,No
2009-01-13,2,17.2,37.7,0.0,,,NNW,35.0,NW,17.0,19.0,1010.9,,35.7,No,No
2009-01-16,2,14.9,26.7,0.0,,,SW,56.0,SW,31.0,20.0,1012.7,,25.5,No,No
2009-01-19,2,13.9,36.6,0.0,,,WNW,39.0,NNE,15.0,10.0,1010.6,,34.4,No,No
2009-01-22,2,24.4,34.0,0.6,,,NW,98.0,NNW,48.0,39.0,997.8,1.0,33.1,No,Yes
2009-01-23,2,18.8,35.2,6.4,,,WNW,52.0,NW,28.0,28.0,1003.9,,33.0,Yes,No
2009-02-10,2,14.9,27.3,0.0,,,SSE,41.0,SE,13.0,30.0,1008.5,1.0,25.8,No,No
2009-02-20,2,18.7,29.1,0.0,,,SSW,41.0,SSE,17.0,39.0,1010.8,,26.8,No,No
2009-02-24,2,12.9,29.6,0.0,,,WNW,46.0,WNW,24.0,14.0,1012.7,7.0,28.6,No,No
2009-02-25,2,8.9,31.9,0.0,,,WNW,43.0,WSW,17.0,16.0,1013.4,7.0,29.3,No,No
2009-03-08,2,11.0,30.2,0.0,,,SSE,24.0,SSE,11.0,20.0,1014.7,,28.8,No,No
2009-03-16,2,8.8,21.9,0.0,,,W,39.0,WNW,20.0,34.0,1011.6,6.0,20.5,No,No
2009-03-19,2,11.3,30.1,0.0,,,WSW,24.0,SW,7.0,15.0,1013.6,,29.3,No,No
2009-03-30,2,13.4,30.4,0.0,,,ENE,22.0,SE,9.0,16.0,1019.5,,29.2,No,No
2009-04-04,2,10.7,21.4,12.6,,,W,43.0,WSW,13.0,33.0,1019.3,,20.3,Yes,No
2009-04-06,2,8.1,21.4,0.0,,,W,35.0,WSW,19.0,20.0,1019.6,,20.9,No,No
2009-04-20,2,7.4,22.0,0.0,,,SSE,28.0,SE,7.0,29.0,1020.0,,21.3,No,No
2009-04-21,2,5.7,21.4,0.0,,,ESE,17.0,SSE,7.0,39.0,1020.9,,20.9,No,No
2009-04-28,2,7.6,14.5,4.8,,,WNW,35.0,W,20.0,48.0,1018.3,1.0,14.0,Yes,No
2009-05-05,2,5.2,18.8,0.0,,,ESE,15.0,SE,7.0,47.0,1028.1,,18.4,No,No
2009-05-08,2,4.3,19.0,0.0,,,W,15.0,W,9.0,36.0,1025.8,,18.5,No,No
2009-05-20,2,5.1,18.6,0.0,,,E,13.0,ENE,9.0,57.0,1020.5,7.0,18.0,No,No
2009-05-23,2,6.2,22.9,0.0,,,E,30.0,SE,9.0,37.0,1019.4,,21.7,No,No
2009-05-26,2,11.6,18.1,4.2,,,E,19.0,SSE,6.0,74.0,1019.2,3.0,17.4,Yes,No
2009-05-30,2,2.2,16.8,0.0,,,SE,26.0,SE,15.0,44.0,1028.5,,16.7,No,No
2009-06-07,2,4.7,11.6,14.4,,,NNW,30.0,NNW,17.0,80.0,1006.3,8.0,11.5,Yes,Yes
2009-06-17,2,0.6,15.9,0.0,,,WSW,13.0,W,2.0,52.0,1027.7,,14.9,No,No
2009-06-18,2,0.5,14.7,0.0,,,N,11.0,,0.0,63.0,1028.6,,14.5,No,No
2009-07-05,2,3.4,12.4,0.0,,,W,31.0,W,15.0,56.0,1019.0,,12.0,No,No
2009-07-08,2,-1.7,13.8,0.0,,,E,17.0,ESE,7.0,54.0,1028.1,,12.4,No,No
2009-07-09,2,-0.4,15.0,0.2,,,ESE,13.0,SE,7.0,54.0,1028.6,,14.3,No,No
2009-07-12,2,8.1,16.5,0.6,,,NNW,33.0,NNW,19.0,53.0,1007.7,6.0,15.4,No,No
2009-07-23,2,6.0,13.5,9.8,,,WNW,26.0,W,17.0,58.0,1018.4,7.0,12.9,Yes,No
2009-07-30,2,3.3,12.1,0.2,,,NNW,22.0,WNW,9.0,76.0,1022.7,7.0,12.0,No,Yes
2009-08-09,2,-1.0,12.2,0.0,,,ESE,15.0,E,7.0,48.0,1018.5,,12.1,No,No
2009-08-17,2,4.2,13.6,3.2,,,WNW,37.0,WNW,19.0,57.0,1019.7,,12.8,Yes,No
2009-08-20,2,5.5,18.4,0.0,,,N,22.0,N,13.0,51.0,1014.3,,17.3,No,No
2009-08-29,2,7.2,17.9,4.2,,,W,59.0,W,19.0,80.0,996.9,8.0,17.5,Yes,Yes
